epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202105,2021-02-01,306,SP,Franca,3516200,city,11585,3255.1187,13,281,0,0.0243,355901,False,False
202105,2021-02-01,308,SP,Franco da Rocha,3516408,city,3601,2301.07609,0,147,0,0.0408,156492,False,False
202105,2021-01-31,305,SP,Franca,3516200,city,11572,3251.466,61,281,0,0.0243,355901,False,False
202105,2021-01-31,307,SP,Franco da Rocha,3516408,city,3601,2301.07609,1,147,0,0.0408,156492,False,False
202104,2021-01-30,304,SP,Franca,3516200,city,11511,3234.3264,144,281,5,0.0244,355901,False,False
202104,2021-01-30,306,SP,Franco da Rocha,3516408,city,3600,2300.43708,7,147,0,0.0408,156492,False,False
202104,2021-01-29,303,SP,Franca,3516200,city,11367,3193.86571,244,276,1,0.0243,355901,False,False
202104,2021-01-29,305,SP,Franco da Rocha,3516408,city,3593,2295.96401,3,147,1,0.0409,156492,False,False
202104,2021-01-28,302,SP,Franca,3516200,city,11123,3125.30732,315,275,0,0.0247,355901,False,False
202104,2021-01-28,304,SP,Franco da Rocha,3516408,city,3590,2294.04698,2,146,0,0.0407,156492,False,False
202104,2021-01-27,301,SP,Franca,3516200,city,10808,3036.79956,226,275,3,0.0254,355901,False,False
202104,2021-01-27,303,SP,Franco da Rocha,3516408,city,3588,2292.76896,10,146,2,0.0407,156492,False,False
202104,2021-01-26,300,SP,Franca,3516200,city,10582,2973.29875,286,272,3,0.0257,355901,False,False
202104,2021-01-26,302,SP,Franco da Rocha,3516408,city,3578,2286.37886,3,144,0,0.0402,156492,False,False
202104,2021-01-25,299,SP,Franca,3516200,city,10296,2892.93933,12,269,3,0.0261,355901,False,False
202104,2021-01-25,301,SP,Franco da Rocha,3516408,city,3575,2284.46183,0,144,0,0.0403,156492,False,False
202104,2021-01-24,298,SP,Franca,3516200,city,10284,2889.5676,6,266,4,0.0259,355901,False,False
202104,2021-01-24,300,SP,Franco da Rocha,3516408,city,3575,2284.46183,0,144,0,0.0403,156492,False,False
202103,2021-01-23,297,SP,Franca,3516200,city,10278,2887.88174,238,262,2,0.0255,355901,False,False
202103,2021-01-23,299,SP,Franco da Rocha,3516408,city,3575,2284.46183,4,144,0,0.0403,156492,False,False
202103,2021-01-22,296,SP,Franca,3516200,city,10040,2821.00921,46,260,4,0.0259,355901,False,False
202103,2021-01-22,298,SP,Franco da Rocha,3516408,city,3571,2281.90578,6,144,1,0.0403,156492,False,False
202103,2021-01-21,295,SP,Franca,3516200,city,9994,2808.08427,350,256,6,0.0256,355901,False,False
202103,2021-01-21,297,SP,Franco da Rocha,3516408,city,3565,2278.07172,6,143,0,0.0401,156492,False,False
202103,2021-01-20,294,SP,Franca,3516200,city,9644,2709.74232,195,250,2,0.0259,355901,False,False
202103,2021-01-20,296,SP,Franco da Rocha,3516408,city,3559,2274.23766,13,143,1,0.0402,156492,False,False
202103,2021-01-19,293,SP,Franca,3516200,city,9449,2654.9518,117,248,1,0.0262,355901,False,False
202103,2021-01-19,295,SP,Franco da Rocha,3516408,city,3546,2265.93053,8,142,0,0.04,156492,False,False
202103,2021-01-18,292,SP,Franca,3516200,city,9332,2622.07749,20,247,1,0.0265,355901,False,False
202103,2021-01-18,294,SP,Franco da Rocha,3516408,city,3538,2260.81844,1,142,0,0.0401,156492,False,False
202103,2021-01-17,291,SP,Franca,3516200,city,9312,2616.45795,31,246,0,0.0264,355901,False,False
202103,2021-01-17,293,SP,Franco da Rocha,3516408,city,3537,2260.17943,3,142,0,0.0401,156492,False,False
202102,2021-01-16,290,SP,Franca,3516200,city,9281,2607.74766,93,246,2,0.0265,355901,False,False
202102,2021-01-16,292,SP,Franco da Rocha,3516408,city,3534,2258.2624,16,142,0,0.0402,156492,False,False
202102,2021-01-15,289,SP,Franca,3516200,city,9188,2581.6168,176,244,1,0.0266,355901,False,False
202102,2021-01-15,291,SP,Franco da Rocha,3516408,city,3518,2248.03824,13,142,0,0.0404,156492,False,False
202102,2021-01-14,288,SP,Franca,3516200,city,9012,2532.16484,89,243,3,0.027,355901,False,False
202102,2021-01-14,290,SP,Franco da Rocha,3516408,city,3505,2239.7311,13,142,2,0.0405,156492,False,False
202102,2021-01-13,287,SP,Franca,3516200,city,8923,2507.15789,289,240,1,0.0269,355901,False,False
202102,2021-01-13,289,SP,Franco da Rocha,3516408,city,3492,2231.42397,5,140,0,0.0401,156492,False,False
202102,2021-01-12,286,SP,Franca,3516200,city,8634,2425.95553,64,239,2,0.0277,355901,False,False
202102,2021-01-12,288,SP,Franco da Rocha,3516408,city,3487,2228.22892,7,140,1,0.0401,156492,False,False
202102,2021-01-11,285,SP,Franca,3516200,city,8570,2407.973,0,237,0,0.0277,355901,False,False
202102,2021-01-11,287,SP,Franco da Rocha,3516408,city,3480,2223.75585,4,139,0,0.0399,156492,False,False
202102,2021-01-10,284,SP,Franca,3516200,city,8570,2407.973,10,237,0,0.0277,355901,False,False
202102,2021-01-10,286,SP,Franco da Rocha,3516408,city,3476,2221.19981,0,139,0,0.04,156492,False,False
202101,2021-01-09,283,SP,Franca,3516200,city,8560,2405.16323,136,237,0,0.0277,355901,False,False
202101,2021-01-09,285,SP,Franco da Rocha,3516408,city,3476,2221.19981,9,139,0,0.04,156492,False,False
202101,2021-01-08,282,SP,Franca,3516200,city,8424,2366.95036,107,237,1,0.0281,355901,False,False
202101,2021-01-08,284,SP,Franco da Rocha,3516408,city,3467,2215.44871,2,139,0,0.0401,156492,False,False
202101,2021-01-07,281,SP,Franca,3516200,city,8317,2336.88582,122,236,2,0.0284,355901,False,False
202101,2021-01-07,283,SP,Franco da Rocha,3516408,city,3465,2214.17069,6,139,0,0.0401,156492,False,False
202101,2021-01-06,280,SP,Franca,3516200,city,8195,2302.60662,278,234,0,0.0286,355901,False,False
202101,2021-01-06,282,SP,Franco da Rocha,3516408,city,3459,2210.33663,4,139,0,0.0402,156492,False,False
