date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-03-02,SP,Osvaldo Cruz,city,828,27,True,33000,3534609,2509.09091,0.0326
2021-03-02,SP,Ourinhos,city,5335,102,True,114352,3534708,4665.41906,0.0191
2021-03-02,SP,Ouroeste,city,454,12,True,10539,3534757,4307.80909,0.0264
2021-03-02,SP,Ouro Verde,city,251,4,True,8620,3534807,2911.83295,0.0159
2021-03-02,SP,Pacaembu,city,768,18,True,14263,3534906,5384.56145,0.0234
2021-03-02,SP,Palestina,city,307,12,True,13123,3535002,2339.4041,0.0391
2021-03-02,SP,Palmares Paulista,city,596,21,True,13486,3535101,4419.39789,0.0352
2021-03-02,SP,Palmeira d'Oeste,city,352,8,True,9227,3535200,3814.89108,0.0227
2021-03-02,SP,Palmital,city,1037,12,True,22272,3535309,4656.0704,0.0116
2021-03-02,SP,Panorama,city,347,10,True,15862,3535408,2187.61821,0.0288
2021-03-02,SP,Paraguaçu Paulista,city,1603,29,True,45945,3535507,3488.95418,0.0181
2021-03-02,SP,Paraibuna,city,603,16,True,18263,3535606,3301.75765,0.0265
2021-03-02,SP,Paraíso,city,226,7,True,6496,3535705,3479.06404,0.031
2021-03-02,SP,Paranapanema,city,581,21,True,20395,3535804,2848.73744,0.0361
2021-03-02,SP,Paranapuã,city,199,7,True,4095,3535903,4859.58486,0.0352
2021-03-02,SP,Parapuã,city,279,7,True,10949,3536000,2548.17792,0.0251
2021-03-02,SP,Pardinho,city,319,6,True,6508,3536109,4901.6595,0.0188
2021-03-02,SP,Pariquera-Açu,city,1321,27,True,19723,3536208,6697.76403,0.0204
2021-03-02,SP,Parisi,city,193,10,True,2169,3536257,8898.10973,0.0518
2021-03-02,SP,Patrocínio Paulista,city,459,12,True,14807,3536307,3099.88519,0.0261
2021-03-02,SP,Paulicéia,city,169,3,True,7454,3536406,2267.23907,0.0178
2021-03-02,SP,Paulínia,city,8618,117,True,112003,3536505,7694.43676,0.0136
2021-03-02,SP,Paulistânia,city,34,0,True,1834,3536570,1853.87132,0.0
2021-03-02,SP,Paulo de Faria,city,303,7,True,8959,3536604,3382.07389,0.0231
2021-03-02,SP,Pederneiras,city,2010,49,True,47111,3536703,4266.5195,0.0244
2021-03-02,SP,Pedra Bela,city,153,2,True,6110,3536802,2504.09165,0.0131
2021-03-02,SP,Pedranópolis,city,107,3,True,2481,3536901,4312.77711,0.028
2021-03-02,SP,Pedregulho,city,139,6,True,16811,3537008,826.83957,0.0432
2021-03-02,SP,Pedreira,city,1724,26,True,48463,3537107,3557.35303,0.0151
2021-03-02,SP,Pedrinhas Paulista,city,127,3,True,3101,3537156,4095.45308,0.0236
2021-03-02,SP,Pedro de Toledo,city,166,7,True,11421,3537206,1453.46292,0.0422
2021-03-02,SP,Penápolis,city,2881,72,True,63757,3537305,4518.71951,0.025
2021-03-02,SP,Pereira Barreto,city,784,18,True,25677,3537404,3053.3162,0.023
2021-03-02,SP,Pereiras,city,413,6,True,8773,3537503,4707.62567,0.0145
2021-03-02,SP,Peruíbe,city,2622,77,True,69001,3537602,3799.94493,0.0294
2021-03-02,SP,Piacatu,city,302,4,True,6038,3537701,5001.65618,0.0132
2021-03-02,SP,Piedade,city,2041,64,True,55542,3537800,3674.69663,0.0314
2021-03-02,SP,Pilar do Sul,city,889,20,True,29402,3537909,3023.60384,0.0225
2021-03-02,SP,Pindamonhangaba,city,5801,109,True,170132,3538006,3409.70541,0.0188
2021-03-02,SP,Pindorama,city,727,23,True,17216,3538105,4222.81599,0.0316
2021-03-02,SP,Pinhalzinho,city,301,2,True,15388,3538204,1956.06966,0.0066
2021-03-02,SP,Piquerobi,city,99,1,True,3699,3538303,2676.39903,0.0101
2021-03-02,SP,Piquete,city,245,5,True,13575,3538501,1804.78821,0.0204
